"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num County total","num County rptg","over votes","under votes"
239,"Circuit Judge Family Court, 8th Judicial Circuit, 3rd Division","David LANPHEAR","",15330,52.40,74822,33494,1,1,"0","0"
240,"Circuit Judge Family Court, 8th Judicial Circuit, 3rd Division","Rebecca Adams SIMPSON","",13927,47.60,74822,33494,1,1,"0","0"
241,"Circuit Judge Family Court, 8th Judicial Circuit, 4th Division","Catherine R. HOLDERFIELD","",21648,100.00,74822,33494,1,1,"0","0"
242,"Circuit Judge Family Court, 9th Judicial Circuit, 1st Division","Pamela ADDINGTON","",13148,50.99,73587,30896,1,1,"0","0"
243,"Circuit Judge Family Court, 9th Judicial Circuit, 1st Division","Dawn Lonneman BLAIR","",12637,49.01,73587,30896,1,1,"0","0"
244,"Circuit Judge, 9th Judicial Circuit, 2nd Division","Ken M. HOWARD","",21396,100.00,73587,30896,1,1,"0","0"
245,"Circuit Judge, 9th Judicial Circuit, 3rd Division","Kelly Mark EASTON","",21380,100.00,73587,30896,1,1,"0","0"
246,"Circuit Judge Family Court, 9th Judicial Circuit, 4th Division","M. Brent HALL","",20989,100.00,73587,30896,1,1,"0","0"
247,"Circuit Judge, 10th Judicial Circuit, 1st Division","Charles C. SIMMS III.","",15399,100.00,54301,25853,3,3,"0","0"
248,"Circuit Judge, 10th Judicial Circuit, 2nd Division","John David "Jack" SEAY","",14971,100.00,54301,25853,3,3,"0","0"
249,"Circuit Judge, 11th Judicial Circuit, 1st Division","Samuel Todd SPALDING","",15343,100.00,47620,25489,4,4,"0","0"
250,"Circuit Judge, 11th Judicial Circuit, 2nd Division","Allan Ray BERTRAM","",15031,100.00,47620,25489,4,4,"0","0"
251,"Circuit Judge, 12th Judicial Circuit, 1st Division","Karen A. CONRAD","",18559,100.00,64475,32526,3,3,"0","0"
252,"Circuit Judge Family Court, 12th Judicial Circuit, 2nd Division","Timothy E. FEELEY","",14788,64.06,64475,32526,3,3,"0","0"
253,"Circuit Judge Family Court, 12th Judicial Circuit, 2nd Division","Michael PATE","",8297,35.94,64475,32526,3,3,"0","0"
254,"Circuit Judge, 13th Judicial Circuit, 1st Division","Hunter DAUGHERTY","",14371,100.00,48219,22907,2,2,"0","0"
255,"Circuit Judge Family Court, 13th Judicial Circuit, 2nd Division","Jackie HORN","",9151,48.07,48219,22907,2,2,"0","0"
256,"Circuit Judge Family Court, 13th Judicial Circuit, 2nd Division","Jeff MOSS","",9887,51.93,48219,22907,2,2,"0","0"
257,"Circuit Judge, 14th Judicial Circuit, 1st Division","Robert G. "Rob" JOHNSON","",20565,100.00,68222,34346,3,3,"0","0"
258,"Circuit Judge, 14th Judicial Circuit, 2nd Division","Paul F. ISAACS","",17713,72.17,68222,34346,3,3,"0","0"
259,"Circuit Judge, 14th Judicial Circuit, 2nd Division","Ethyle NOEL","",6831,27.83,68222,34346,3,3,"0","0"
260,"Circuit Judge Family Court, 14th Judicial Circuit, 3rd Division","Lisa Hart MORGAN","",15691,57.01,68222,34346,3,3,"0","0"
261,"Circuit Judge Family Court, 14th Judicial Circuit, 3rd Division","Tamra GORMLEY","",11832,42.99,68222,34346,3,3,"0","0"
262,"Circuit Judge, 15th Judicial Circuit","R. Leslie KNIGHT","",6743,56.34,32148,14185,3,3,"0","0"
263,"Circuit Judge, 15th Judicial Circuit","John Brent THRELKELD","",5225,43.66,32148,14185,3,3,"0","0"
264,"Circuit Judge, 16th Judicial Circuit, 1st Division","Kathy LAPE","",21995,58.53,119973,46962,1,1,"0","0"
265,"Circuit Judge, 16th Judicial Circuit, 1st Division","James T. REDWINE","",15586,41.47,119973,46962,1,1,"0","0"
266,"Circuit Judge Family Court, 16th Judicial Circuit, 2nd Division","Carl E. KNOCHELMANN JR.","",17378,48.65,119973,46962,1,1,"0","0"
267,"Circuit Judge Family Court, 16th Judicial Circuit, 2nd Division","Chris MEHLING","",18343,51.35,119973,46962,1,1,"0","0"
268,"Circuit Judge, 16th Judicial Circuit, 3rd Division","Gregory M. BARTLETT","",28669,100.00,119973,46962,1,1,"0","0"
269,"Circuit Judge, 16th Judicial Circuit, 4th Division","Patricia M. SUMME","",31269,100.00,119973,46962,1,1,"0","0"
270,"Circuit Judge Family Court, 16th Judicial Circuit, 5th Division","Lisa Osborne BUSHELMAN","",19903,54.62,119973,46962,1,1,"0","0"
271,"Circuit Judge Family Court, 16th Judicial Circuit, 5th Division","Stephanie A. DIETZ","",16534,45.38,119973,46962,1,1,"0","0"
272,"Circuit Judge, 17th Judicial Circuit, 1st Division","Julie Reinhardt WARD","",19987,100.00,66924,30030,1,1,"0","0"
273,"Circuit Judge, 17th Judicial Circuit, 2nd Division","Fred A. STINE V.","",20509,100.00,66924,30030,1,1,"0","0"
274,"Circuit Judge Family Court, 17th Judicial Circuit, 3rd Division","Richard A. WOESTE","",19815,100.00,66924,30030,1,1,"0","0"
275,"Circuit Judge, 18th Judicial Circuit, 1st Division","Jay DELANEY","",9126,100.00,30336,13513,4,4,"0","0"
276,"Circuit Judge Family Court, 18th Judicial Circuit, 2nd Division","Heather FRYMAN","",8021,71.08,30336,13513,4,4,"0","0"
277,"Circuit Judge Family Court, 18th Judicial Circuit, 2nd Division","Sam W. ARNOLD III.","",3264,28.92,30336,13513,4,4,"0","0"
278,"Circuit Judge, 19th Judicial Circuit","Stockton B. WOOD","",8891,100.00,29182,13429,3,3,"0","0"
279,"Circuit Judge, 20th Judicial Circuit, 1st Division","Robert B. CONLEY","",9529,100.00,38514,15535,2,2,"0","0"
280,"Circuit Judge Family Court, 20th Judicial Circuit, 2nd Division","Jeffrey L. PRESTON","",9008,100.00,38514,15535,2,2,"0","0"
281,"Circuit Judge, 21st Judicial Circuit, 1st Division","William E. "Bill" LANE","",14825,100.00,48302,23335,4,4,"0","0"
282,"Circuit Judge, 21st Judicial Circuit, 2nd Division","Beth Lewis MAZE","",13990,100.00,48302,23335,4,4,"0","0"
283,"Circuit Judge Family Court, 22nd Judicial Circuit, 1st Division","Tim PHILPOT","",55163,100.00,208882,98497,1,1,"0","0"
284,"Circuit Judge Family Court, 22nd Judicial Circuit, 2nd Division","John SCHRADER","",29450,44.29,208882,98497,1,1,"0","0"
285,"Circuit Judge Family Court, 22nd Judicial Circuit, 2nd Division","Traci H. BOYD","",37047,55.71,208882,98497,1,1,"0","0"
286,"Circuit Judge, 22nd Judicial Circuit, 3rd Division","James "Jim" ISHMAEL JR.","",53509,100.00,208882,98497,1,1,"0","0"
287,"Circuit Judge, 22nd Judicial Circuit, 4th Division","Pamela R. GOODWINE","",57096,100.00,208882,98497,1,1,"0","0"
288,"Circuit Judge Family Court, 22nd Judicial Circuit, 5th Division","Lucinda MASTERTON","",51051,100.00,208882,98497,1,1,"0","0"
289,"Circuit Judge Family Court, 22nd Judicial Circuit, 6th Division","Kathy W. STEIN","",43639,62.45,208882,98497,1,1,"0","0"
290,"Circuit Judge Family Court, 22nd Judicial Circuit, 6th Division","Jennifer McVay MARTIN","",26239,37.55,208882,98497,1,1,"0","0"
291,"Circuit Judge, 22nd Judicial Circuit, 7th Division","Ernesto SCORSONE","",55437,100.00,208882,98497,1,1,"0","0"
292,"Circuit Judge, 22nd Judicial Circuit, 8th Division","Thomas L. CLARK","",52990,100.00,208882,98497,1,1,"0","0"
293,"Circuit Judge, 22nd Judicial Circuit, 9th Division","Kimberly N. BUNNELL","",51812,100.00,208882,98497,1,1,"0","0"
